trial,word,list,assessment,identification
1,record,silent,correct,identification
2,quarrel,read,correct,identification
3,station,silent,false,rejection
4,clothes,distract,correct,rejection
5,capital,distract,correct,rejection
6,partner,distract,correct,rejection
7,education,silent,correct,identification
8,merchant,distract,correct,rejection
9,forest,silent,correct,identification
10,address,read,correct,identification
11,victory,read,false,rejection
12,shoulder,read,correct,identification
13,market,distract,correct,rejection
14,queen,distract,correct,rejection
15,amount,silent,correct,identification
16,kettle,distract,correct,rejection
17,resort,distract,correct,rejection
18,entrance,distract,correct,rejection
19,package,read,correct,identification
20,century,silent,false,rejection
21,theatre,silent,false,rejection
22,garden,distract,false,identification
23,powder,read,correct,identification
24,dinner,distract,correct,rejection
25,judge,read,false,rejection
26,debate,read,correct,identification
27,direction,silent,false,rejection
28,vacation,distract,correct,rejection
29,ticket,read,correct,identification
30,glass,distract,correct,rejection
31,winter,distract,correct,rejection
32,beauty,distract,correct,rejection
33,laugh,distract,correct,rejection
34,pocket,silent,false,rejection
35,industry,distract,correct,rejection
36,school,distract,correct,rejection
37,foundation,distract,correct,rejection
38,stream,distract,correct,rejection
39,furniture,read,correct,identification
40,leather,silent,correct,identification
Participant gender:['f'],,,,
