trial,word,list,assessment,identification
1,school,distract,correct,rejection
2,afternoon,read,correct,identification
3,teacher,read,correct,identification
4,stream,distract,correct,rejection
5,wheel,read,correct,identification
6,trousers,read,correct,identification
7,glass,distract,correct,rejection
8,dinner,distract,correct,rejection
9,leather,silent,correct,identification
10,vacation,distract,correct,rejection
11,winter,distract,correct,rejection
12,powder,read,correct,identification
13,partner,distract,correct,rejection
14,laugh,distract,false,identification
15,queen,distract,correct,rejection
16,merchant,distract,correct,rejection
17,kettle,distract,correct,rejection
18,machine,silent,false,rejection
19,entrance,distract,correct,rejection
20,furniture,read,correct,identification
21,clothes,distract,false,identification
22,resort,distract,correct,rejection
23,industry,distract,correct,rejection
24,market,distract,false,identification
25,branch,silent,false,rejection
26,traffic,silent,correct,identification
27,minute,silent,false,rejection
28,education,silent,false,rejection
29,station,silent,false,rejection
30,record,silent,correct,identification
31,pocket,silent,false,rejection
32,beauty,distract,correct,rejection
33,wagon,silent,false,rejection
34,foundation,distract,correct,rejection
35,uniform,read,correct,identification
36,shoulder,read,correct,identification
37,capital,distract,correct,rejection
38,debate,read,correct,identification
39,garden,distract,correct,rejection
40,victory,read,correct,identification
Participant gender:['m']
